id,lot,poids (kg),volume (m3),personnes aidées,priorité (1-10),utilité
L001,Comprimés de purification (carton) ×2,18.2,0.045,8,9,7.4
L002,Tente familiale ×4,128.3,0.68,12,6,6.4
L003,Bâche de protection ×1,8.5,0.039,8,7,5.4
L004,Kit médical d'urgence ×3,35.8,0.165,27,10,27.0
L005,Aliment thérapeutique (carton) ×2,26.3,0.065,18,10,18.6
L006,Kit d'hygiène ×1,6.6,0.028,8,6,4.4
L007,Bâche de protection ×4,30.9,0.149,28,7,21.0
L008,Tente familiale ×3,96.5,0.5,15,6,9.2
L009,Aliment thérapeutique (carton) ×5,70.2,0.144,50,10,48.8
L010,Bidon d'eau 20 L ×2,36.0,0.05,18,8,14.0
L011,Couvertures (lot de 10) ×4,56.3,0.537,44,5,24.2
L012,Bâche de protection ×1,8.6,0.039,10,7,7.7
L013,Bidon d'eau 20 L ×2,39.2,0.047,22,8,15.4
L014,Couvertures (lot de 10) ×1,13.5,0.123,11,5,6.1
L015,Sac de riz 50 kg ×1,51.0,0.072,4,9,3.8
L016,Aliment thérapeutique (carton) ×5,74.1,0.157,50,10,47.7
L017,Kit médical d'urgence ×1,11.2,0.056,9,10,10.1
L018,Bâche de protection ×5,36.5,0.194,25,7,16.9
L019,Bidon d'eau 20 L ×1,19.7,0.027,4,8,3.2
L020,Kit médical d'urgence ×1,11.3,0.052,11,10,12.6
L021,Kit cuisine ×3,33.6,0.187,21,5,11.2
L022,Bidon d'eau 20 L ×5,108.5,0.131,55,8,42.1
L023,Jerrycan pliable (lot) ×4,30.5,0.229,20,6,13.6
L024,Bâche de protection ×1,8.6,0.038,9,7,7.2
L025,Bidon d'eau 20 L ×4,74.7,0.104,40,8,34.2
L026,Bidon d'eau 20 L ×2,40.6,0.056,16,8,13.8
L027,Couvertures (lot de 10) ×1,15.8,0.124,4,5,1.9
L028,Kit d'hygiène ×5,32.2,0.168,35,6,18.5
L029,Sac de riz 50 kg ×3,160.3,0.221,33,9,30.6
L030,Tente familiale ×2,70.0,0.309,10,6,6.7
L031,Lampe solaire (carton) ×2,17.0,0.087,20,4,8.0
L032,Couvertures (lot de 10) ×1,15.5,0.128,11,5,6.2
L033,Bidon d'eau 20 L ×4,87.3,0.106,28,8,21.0
L034,Lampe solaire (carton) ×3,27.2,0.11,15,4,5.4
L035,Comprimés de purification (carton) ×4,41.4,0.073,40,9,37.3
L036,Bidon d'eau 20 L ×1,20.4,0.023,6,8,5.3
L037,Kit d'hygiène ×2,11.7,0.061,22,6,15.1
L038,Lampe solaire (carton) ×1,8.4,0.037,4,4,1.7
L039,Lampe solaire (carton) ×2,19.5,0.073,20,4,8.6
L040,Comprimés de purification (carton) ×3,29.4,0.066,21,9,19.0
L041,Couvertures (lot de 10) ×5,71.1,0.63,20,5,11.2
L042,Lampe solaire (carton) ×5,47.8,0.214,15,4,6.6
L043,Comprimés de purification (carton) ×4,39.6,0.088,24,9,18.7
