id,profil,vCPU,RAM (Go),disque (Go),revenu mensuel (USD)
VM001,stockage,2,8,800,69.96
VM002,medium,4,8,80,71.55
VM003,medium,4,8,80,44.13
VM004,large,8,16,160,100.96
VM005,small,2,4,40,37.22
VM006,small,2,4,40,23.75
VM007,calcul,16,8,60,191.12
VM008,micro,1,1,20,9.49
VM009,micro,1,1,20,10.31
VM010,mémoire,4,32,100,138.26
VM011,micro,1,1,20,9.43
VM012,medium,4,8,80,71.34
VM013,xlarge,16,32,320,294.55
VM014,micro,1,1,20,16.66
VM015,stockage,2,8,800,80.98
VM016,small,2,4,40,36.11
VM017,mémoire,4,32,100,135.34
VM018,medium,4,8,80,43.25
VM019,large,8,16,160,108.67
VM020,medium,4,8,80,70.14
VM021,calcul,16,8,60,196.76
VM022,xlarge,16,32,320,315.5
VM023,mémoire,4,32,100,93.51
VM024,stockage,2,8,800,89.42
VM025,micro,1,1,20,11.53
VM026,medium,4,8,80,76.72
VM027,small,2,4,40,30.31
VM028,xlarge,16,32,320,200.28
VM029,large,8,16,160,156.88
VM030,mémoire,4,32,100,141.18
VM031,mémoire,4,32,100,93.97
VM032,mémoire,4,32,100,111.49
VM033,medium,4,8,80,74.81
VM034,large,8,16,160,92.24
VM035,large,8,16,160,163.94
VM036,small,2,4,40,24.0
VM037,calcul,16,8,60,164.86
VM038,mémoire,4,32,100,158.95
VM039,small,2,4,40,36.46
VM040,micro,1,1,20,17.06
VM041,large,8,16,160,114.56
VM042,mémoire,4,32,100,166.61
VM043,calcul,16,8,60,196.21
VM044,calcul,16,8,60,148.19
VM045,stockage,2,8,800,104.1
VM046,calcul,16,8,60,191.57
VM047,medium,4,8,80,83.17
VM048,large,8,16,160,88.93
VM049,small,2,4,40,41.2
VM050,medium,4,8,80,68.01
VM051,xlarge,16,32,320,262.3
VM052,micro,1,1,20,17.48
VM053,micro,1,1,20,11.45
VM054,stockage,2,8,800,68.21
VM055,medium,4,8,80,51.17
VM056,medium,4,8,80,50.14
VM057,medium,4,8,80,75.0
VM058,medium,4,8,80,64.14
VM059,xlarge,16,32,320,308.49
VM060,small,2,4,40,30.15
VM061,stockage,2,8,800,88.84
VM062,small,2,4,40,22.12
VM063,micro,1,1,20,15.58
VM064,micro,1,1,20,11.45
VM065,mémoire,4,32,100,122.45
VM066,xlarge,16,32,320,334.98
VM067,medium,4,8,80,83.37
VM068,micro,1,1,20,14.83
VM069,xlarge,16,32,320,199.17
VM070,stockage,2,8,800,70.68
VM071,micro,1,1,20,17.41
VM072,micro,1,1,20,11.31
VM073,medium,4,8,80,64.83
VM074,small,2,4,40,39.56
VM075,calcul,16,8,60,118.68
VM076,xlarge,16,32,320,222.61
VM077,small,2,4,40,31.02
VM078,mémoire,4,32,100,102.79
VM079,medium,4,8,80,59.97
VM080,medium,4,8,80,42.46
VM081,large,8,16,160,155.48
VM082,xlarge,16,32,320,196.07
VM083,stockage,2,8,800,76.3
VM084,calcul,16,8,60,147.76
VM085,micro,1,1,20,10.32
VM086,xlarge,16,32,320,219.34
VM087,calcul,16,8,60,167.98
VM088,calcul,16,8,60,229.45
VM089,medium,4,8,80,51.98
VM090,medium,4,8,80,64.51
VM091,medium,4,8,80,75.42
VM092,calcul,16,8,60,144.6
VM093,xlarge,16,32,320,223.86
VM094,small,2,4,40,29.44
VM095,stockage,2,8,800,64.22
VM096,small,2,4,40,36.58
VM097,stockage,2,8,800,105.26
VM098,medium,4,8,80,64.42
VM099,calcul,16,8,60,201.0
VM100,micro,1,1,20,10.33
VM101,stockage,2,8,800,78.42
VM102,large,8,16,160,87.62
VM103,medium,4,8,80,53.8
VM104,stockage,2,8,800,87.6
VM105,mémoire,4,32,100,134.44
VM106,medium,4,8,80,77.79
VM107,calcul,16,8,60,166.11
VM108,small,2,4,40,32.04
VM109,large,8,16,160,134.07
VM110,micro,1,1,20,17.49
VM111,medium,4,8,80,63.78
VM112,calcul,16,8,60,140.62
VM113,medium,4,8,80,78.82
VM114,micro,1,1,20,15.21
VM115,large,8,16,160,123.32
VM116,calcul,16,8,60,122.47
VM117,xlarge,16,32,320,253.04
VM118,xlarge,16,32,320,175.46
VM119,calcul,16,8,60,192.74
VM120,large,8,16,160,95.23
VM121,xlarge,16,32,320,205.72
VM122,medium,4,8,80,73.07
VM123,medium,4,8,80,68.95
VM124,large,8,16,160,117.55
VM125,mémoire,4,32,100,95.16
VM126,large,8,16,160,120.0
VM127,micro,1,1,20,15.33
VM128,stockage,2,8,800,92.41
VM129,large,8,16,160,89.33
VM130,calcul,16,8,60,210.4
VM131,micro,1,1,20,14.52
VM132,calcul,16,8,60,223.79
VM133,large,8,16,160,91.54
VM134,micro,1,1,20,16.81
VM135,micro,1,1,20,17.02
VM136,large,8,16,160,123.98
VM137,stockage,2,8,800,98.64
VM138,large,8,16,160,123.04
VM139,large,8,16,160,120.07
VM140,small,2,4,40,25.35
VM141,large,8,16,160,155.58
VM142,stockage,2,8,800,61.45
VM143,xlarge,16,32,320,304.44
VM144,medium,4,8,80,42.99
VM145,micro,1,1,20,10.37
VM146,micro,1,1,20,16.9
VM147,small,2,4,40,24.67
VM148,large,8,16,160,101.93
VM149,mémoire,4,32,100,133.27
VM150,small,2,4,40,25.23
VM151,mémoire,4,32,100,167.49
VM152,xlarge,16,32,320,272.02
VM153,mémoire,4,32,100,98.59
VM154,small,2,4,40,26.92
VM155,micro,1,1,20,10.61
VM156,large,8,16,160,84.6
VM157,micro,1,1,20,13.66
VM158,calcul,16,8,60,201.85
VM159,stockage,2,8,800,66.99
VM160,large,8,16,160,135.05
VM161,xlarge,16,32,320,215.16
VM162,large,8,16,160,155.53
VM163,xlarge,16,32,320,299.68
VM164,stockage,2,8,800,103.59
VM165,stockage,2,8,800,68.27
VM166,xlarge,16,32,320,310.08
VM167,mémoire,4,32,100,96.93
VM168,mémoire,4,32,100,167.96
VM169,xlarge,16,32,320,230.72
VM170,stockage,2,8,800,79.06
VM171,calcul,16,8,60,175.83
VM172,large,8,16,160,106.56
VM173,mémoire,4,32,100,164.27
VM174,small,2,4,40,35.09
VM175,small,2,4,40,35.66
VM176,stockage,2,8,800,72.33
VM177,mémoire,4,32,100,105.31
VM178,calcul,16,8,60,233.66
VM179,micro,1,1,20,12.39
VM180,large,8,16,160,142.08
VM181,micro,1,1,20,12.64
VM182,medium,4,8,80,56.65
VM183,mémoire,4,32,100,134.48
VM184,micro,1,1,20,13.79
VM185,stockage,2,8,800,74.85
VM186,medium,4,8,80,43.6
