id,secteur,investissement (k USD),valeur attendue à 3 ans (k USD)
A001,Éducation privée,932.0,1018.8
A002,Éducation privée,208.0,237.5
A003,Éducation privée,174.0,195.9
A004,Riziculture,567.0,628.4
A005,Mines artisanales,163.0,182.8
A006,Riziculture,147.0,164.7
A007,Tourisme,761.0,839.9
A008,Énergie solaire,585.0,643.3
A009,Riziculture,467.0,522.7
A010,Mines artisanales,501.0,564.3
A011,Tourisme,165.0,188.1
A012,Énergie solaire,641.0,714.6
A013,Agro-industrie (vanille),675.0,735.0
A014,Mines artisanales,836.0,932.1
A015,Tourisme,84.0,98.2
A016,Textile,899.0,996.0
A017,Riziculture,344.0,379.2
A018,Textile,420.0,464.5
A019,Pêche,916.0,1002.2
A020,Pêche,942.0,1050.8
A021,Tourisme,456.0,504.1
A022,Agro-industrie (vanille),373.0,415.9
A023,Transport,57.0,68.1
A024,Transport,924.0,1034.9
A025,Mines artisanales,171.0,190.5
A026,Transport,192.0,217.6
A027,Télécoms,637.0,700.0
A028,Énergie solaire,570.0,637.8
A029,Agro-industrie (vanille),776.0,859.4
A030,Éducation privée,322.0,362.0
A031,Énergie solaire,665.0,745.8
A032,Pêche,259.0,292.8
A033,Tourisme,516.0,581.7
A034,Pêche,680.0,745.8
A035,Textile,254.0,281.1
A036,Agro-industrie (vanille),468.0,511.8
A037,Énergie solaire,753.0,844.5
A038,Pêche,724.0,799.8
A039,Transport,565.0,636.5
A040,Textile,299.0,332.7
A041,Énergie solaire,179.0,199.4
A042,Agro-industrie (vanille),790.0,875.7
A043,Transport,933.0,1032.3
A044,Riziculture,873.0,953.0
A045,Transport,562.0,633.2
A046,Pêche,192.0,218.3
A047,Transport,609.0,665.4
A048,Éducation privée,975.0,1071.6
A049,Énergie solaire,626.0,695.4
A050,Énergie solaire,66.0,77.3
A051,Transport,771.0,837.9
A052,Mines artisanales,171.0,191.3
A053,Transport,528.0,589.5
A054,Télécoms,641.0,720.6
A055,Riziculture,135.0,154.4
A056,Transport,484.0,543.2
A057,Agro-industrie (vanille),468.0,526.9
A058,Textile,878.0,955.0
A059,Textile,843.0,926.8
A060,Éducation privée,793.0,870.6
A061,Textile,238.0,270.0
A062,Mines artisanales,871.0,961.7
A063,Mines artisanales,800.0,869.5
A064,Riziculture,833.0,907.3
A065,Énergie solaire,977.0,1097.7
A066,Éducation privée,919.0,1020.9
A067,Télécoms,677.0,759.8
A068,Télécoms,412.0,459.0
A069,Énergie solaire,936.0,1035.3
A070,Énergie solaire,720.0,791.8
A071,Tourisme,539.0,602.9
A072,Pêche,25.0,32.8
A073,Mines artisanales,940.0,1024.3
A074,Éducation privée,804.0,900.7
A075,Textile,585.0,650.2
A076,Agro-industrie (vanille),626.0,686.4
A077,Textile,118.0,134.8
A078,Agro-industrie (vanille),815.0,917.5
A079,Éducation privée,196.0,219.7
A080,Mines artisanales,75.0,87.5
A081,Tourisme,333.0,371.9
A082,Énergie solaire,147.0,167.5
A083,Mines artisanales,716.0,779.5
A084,Agro-industrie (vanille),418.0,460.7
A085,Énergie solaire,149.0,166.5
A086,Riziculture,265.0,293.8
A087,Riziculture,322.0,356.5
A088,Télécoms,824.0,919.2
A089,Éducation privée,474.0,525.6
A090,Textile,284.0,319.2
A091,Tourisme,763.0,836.2
A092,Énergie solaire,897.0,984.0
A093,Transport,783.0,870.5
A094,Éducation privée,488.0,537.7
A095,Riziculture,334.0,374.1
A096,Éducation privée,399.0,451.3
A097,Télécoms,956.0,1053.0
A098,Mines artisanales,285.0,313.1
A099,Riziculture,362.0,408.1
A100,Mines artisanales,458.0,500.0
A101,Pêche,855.0,942.3
A102,Agro-industrie (vanille),255.0,288.5
A103,Télécoms,660.0,733.0
A104,Textile,312.0,345.7
A105,Mines artisanales,934.0,1044.6
A106,Énergie solaire,298.0,332.9
A107,Énergie solaire,727.0,793.6
A108,Énergie solaire,207.0,235.1
A109,Riziculture,256.0,286.1
A110,Énergie solaire,361.0,395.2
A111,Agro-industrie (vanille),54.0,65.3
A112,Textile,218.0,241.5
A113,Éducation privée,211.0,240.7
A114,Télécoms,230.0,256.4
A115,Tourisme,77.0,89.9
A116,Tourisme,992.0,1086.0
A117,Éducation privée,608.0,663.1
A118,Énergie solaire,110.0,124.1
A119,Agro-industrie (vanille),458.0,501.5
A120,Éducation privée,600.0,675.8
A121,Éducation privée,346.0,383.4
A122,Éducation privée,608.0,684.1
A123,Textile,421.0,469.6
A124,Pêche,54.0,63.7
A125,Riziculture,563.0,626.8
A126,Textile,77.0,90.4
A127,Télécoms,617.0,674.6
A128,Télécoms,309.0,340.2
A129,Télécoms,585.0,642.7
A130,Agro-industrie (vanille),474.0,519.6
A131,Énergie solaire,755.0,842.9
A132,Mines artisanales,714.0,783.5
A133,Télécoms,299.0,338.7
A134,Textile,975.0,1082.3
A135,Riziculture,890.0,987.5
A136,Éducation privée,940.0,1022.6
A137,Énergie solaire,348.0,394.6
A138,Transport,122.0,138.6
A139,Éducation privée,467.0,526.4
A140,Mines artisanales,451.0,492.6
A141,Télécoms,392.0,441.4
A142,Télécoms,234.0,264.2
A143,Mines artisanales,62.0,73.6
A144,Tourisme,565.0,631.4
A145,Éducation privée,248.0,277.1
A146,Textile,212.0,239.4
A147,Tourisme,537.0,592.2
A148,Textile,799.0,894.7
