instance,family,class,n,m,optimum_file,greedy,t_greedy,ub_lp,f_n,f_m,f_tightness,f_corr_vw,f_cv_ratio,f_cv_w,f_cv_v,f_greedy_gap_ub,dp,t_dp,dp_status,milp,t_milp,milp_status,milp_bound
UC_n200_R1000_s0,pisinger-gen,UC,200,1,,80814.0,0.0025013660015247297,80839.8838643371,200,1,0.49504597485456936,0.11153089866687874,3.043391088771704,0.5554692449923223,0.571695587710461,0.0003201868075483096,80814.0,0.040074991000437876,optimal,80814.0,0.06894612699761637,optimal,80814.0
UC_n200_R1000_s1,pisinger-gen,UC,200,1,,82659.0,0.0012775050017808098,82706.8832807571,200,1,0.4950476062631241,0.005125611821738135,3.8880011082795716,0.5476104031370027,0.5549681129591405,0.0005789515800584194,82676.0,0.02383354199992027,optimal,82676.0,0.1647316700000374,optimal,82676.0
UC_n200_R1000_s2,pisinger-gen,UC,200,1,,83684.0,0.0023198310009320267,83792.69884726225,200,1,0.4950461529270017,-0.09010832927349656,3.3088326148196936,0.5602213519103758,0.569247466643091,0.001297235305195072,83748.0,0.03717692799909855,optimal,83748.0,0.16718637599842623,optimal,83748.0
UC_n500_R1000_s0,pisinger-gen,UC,500,1,,203549.0,0.006622741002502153,203616.87301587302,500,1,0.49504583651642475,-0.009666152983673772,2.7563571816806323,0.5653621479739521,0.5490768717820963,0.0003333368932923681,203595.0,0.8718095499971241,optimal,203595.0,0.5310134120009025,optimal,203595.00000000006
UC_n500_R1000_s1,pisinger-gen,UC,500,1,,201618.0,0.0071183299987751525,201633.87915407855,500,1,0.4950493892558893,-0.053411748415190224,2.483850376213522,0.5587854198710125,0.5870255422997989,7.875241078118585e-05,201623.0,0.8237502289994154,optimal,201623.0,0.2766420170009951,optimal,201623.0
UC_n500_R1000_s2,pisinger-gen,UC,500,1,,197930.0,0.006637389000388794,197959.28177966102,500,1,0.4950484102790896,0.08188039965221416,4.8075725309848245,0.5762642140591958,0.5669924105464225,0.0001479181950842299,197944.0,0.6775307839998277,optimal,197944.0,0.7937940199990408,optimal,197944.0
UC_n1000_R1000_s0,pisinger-gen,UC,1000,1,,407910.0,0.012960264000867028,407947.76704545453,1000,1,0.4950489681639165,-0.034751355169528354,4.033811627968016,0.5577288672334912,0.5594539968848687,9.257813991250866e-05,407942.0,3.598016442003427,optimal,407942.0,0.8341530479992798,optimal,407942.0
UC_n1000_R1000_s1,pisinger-gen,UC,1000,1,,416784.0,0.010127491997991456,416836.76288659795,1000,1,0.49504889440558886,0.02615897424108308,2.469350296815112,0.5730059933530246,0.5679237475659586,0.00012657925426866413,416827.0,3.2491657589998795,optimal,416827.0,0.507434638999257,optimal,416827.0
UC_n1000_R1000_s2,pisinger-gen,UC,1000,1,,407906.0,0.012520289998064982,407978.03282828286,1000,1,0.49504926910219865,-0.03613317043681223,5.153036410760002,0.5717318635812944,0.5771101965443728,0.00017656055592869235,407965.0,3.410741424999287,optimal,407965.0,0.6001804349980375,optimal,407965.0
WC_n200_R1000_s0,pisinger-gen,WC,200,1,,58087.0,0.002665153002453735,58155.29801324503,200,1,0.49504597485456936,0.9818729489602067,0.7745159047955843,0.5554692449923223,0.5684181331849025,0.0011744074156317965,58152.0,0.07107284100129618,optimal,58152.0,0.13839499300229363,optimal,58152.0
