instance,method,seed,value,time,evaluations,feasible,gen_to_best,final_diversity
ASC_n1000_R1000_s0,GA,0,324931.0,5.378325526999106,19700,True,110,0.0013944000000000005
ASC_n1000_R1000_s0,GA,1,324919.0,5.589000608000788,19700,True,109,0.0016624000000000003
ASC_n1000_R1000_s0,GA,2,324919.0,5.6576736779970815,19700,True,43,0.0018280000000000006
ASC_n1000_R1000_s0,GA,3,324841.0,5.3548920120010735,19700,True,157,0.0012620000000000005
ASC_n1000_R1000_s0,GA,4,324614.0,5.3322533540012955,19700,True,59,0.0016284000000000006
ASC_n1000_R1000_s0,GA,5,324641.0,4.641884597000171,19700,True,112,0.0015416000000000004
ASC_n1000_R1000_s0,GA,6,324944.0,5.36048528199899,19700,True,124,0.0012852000000000007
ASC_n1000_R1000_s0,GA,7,325026.0,5.546102696000162,19700,True,69,0.0015320000000000004
ASC_n1000_R1000_s0,GA,8,324847.0,5.570618285000819,19700,True,65,0.001627200000000001
ASC_n1000_R1000_s0,GA,9,324742.0,5.092132623001817,19700,True,123,0.0013324000000000003
ASC_n1000_R1000_s0,GA-FIX-UX+BF3,0,325232.0,5.733222475999355,19700,True,171,0.0040116000000000014
ASC_n1000_R1000_s0,GA-FIX-UX+BF3,1,325240.0,6.279956670001411,19700,True,195,0.020840800000000007
ASC_n1000_R1000_s0,GA-FIX-UX+BF3,2,325231.0,5.757043039000564,19700,True,177,0.015513600000000004
ASC_n1000_R1000_s0,GA-FIX-UX+BF3,3,325235.0,5.722678484999051,19700,True,100,0.004971600000000002
ASC_n1000_R1000_s0,GA-FIX-UX+BF3,4,325237.0,6.411713989000418,19700,True,176,0.015311600000000003
ASC_n1000_R1000_s0,GA-FIX-UX+BF3,5,325244.0,5.142660587000137,19700,True,114,0.0036228000000000015
ASC_n1000_R1000_s0,GA-FIX-UX+BF3,6,325231.0,6.3546406679997745,19700,True,106,0.004486400000000003
ASC_n1000_R1000_s0,GA-FIX-UX+BF3,7,325233.0,6.101834876000794,19700,True,66,0.005488800000000002
ASC_n1000_R1000_s0,GA-FIX-UX+BF3,8,325234.0,6.995548680999491,19700,True,140,0.005290800000000003
ASC_n1000_R1000_s0,GA-FIX-UX+BF3,9,325229.0,6.059538891997363,19700,True,58,0.004914400000000002
ASC_n1000_R1000_s0,GA-QL,0,325133.0,5.891195822001464,19700,True,129,0.004551600000000001
ASC_n1000_R1000_s0,GA-QL,1,325138.0,6.326714902999811,19700,True,99,0.002673600000000001
ASC_n1000_R1000_s0,GA-QL,2,325141.0,5.859181757001352,19700,True,193,0.0046724
ASC_n1000_R1000_s0,GA-QL,3,325136.0,6.171017671997106,19700,True,100,0.002113200000000001
ASC_n1000_R1000_s0,GA-QL,4,325134.0,6.0472866269992664,19700,True,100,0.0015044000000000004
ASC_n1000_R1000_s0,GA-QL,5,325240.0,6.355797588999849,19700,True,138,0.0009084000000000005
ASC_n1000_R1000_s0,GA-QL,6,325136.0,6.3160875309986295,19700,True,134,0.002024400000000001
ASC_n1000_R1000_s0,GA-QL,7,325139.0,6.497385201000725,19700,True,95,0.002137600000000001
ASC_n1000_R1000_s0,GA-QL,8,325138.0,6.264745790998859,19700,True,78,0.0012140000000000009
ASC_n1000_R1000_s0,GA-QL,9,325141.0,5.455850474001636,19700,True,179,0.0018544000000000004
ASC_n1000_R1000_s0,GA-QL-T,0,325238.0,6.821502831000544,19700,True,157,0.0041696000000000025
ASC_n1000_R1000_s0,GA-QL-T,1,325141.0,6.293363077998947,19700,True,140,0.006800000000000004
ASC_n1000_R1000_s0,GA-QL-T,2,325140.0,5.856609118000051,19700,True,85,0.006840400000000003
ASC_n1000_R1000_s0,GA-QL-T,3,325238.0,6.376171496001916,19700,True,106,0.0048312000000000025
ASC_n1000_R1000_s0,GA-QL-T,4,325137.0,5.9324660769998445,19700,True,135,0.003996800000000002
ASC_n1000_R1000_s0,GA-QL-T,5,325128.0,6.060445725997852,19700,True,82,0.005223600000000003
ASC_n1000_R1000_s0,GA-QL-T,6,325233.0,6.226798406998569,19700,True,115,0.004566800000000003
ASC_n1000_R1000_s0,GA-QL-T,7,325236.0,4.434294426002452,19700,True,199,0.004320800000000002
ASC_n1000_R1000_s0,GA-QL-T,8,325137.0,4.53700119000132,19700,True,146,0.007266000000000003
ASC_n1000_R1000_s0,GA-QL-T,9,325232.0,6.060591008001211,19700,True,159,0.004961200000000003
ASC_n1000_R1000_s0,GA-QL-Tphi,0,325138.0,6.227721023002232,19700,True,147,0.007626400000000004
ASC_n1000_R1000_s0,GA-QL-Tphi,1,325149.0,6.53731984100159,19700,True,140,0.004230800000000003
ASC_n1000_R1000_s0,GA-QL-Tphi,2,325138.0,6.361894955000025,19700,True,176,0.0016352000000000005
ASC_n1000_R1000_s0,GA-QL-Tphi,3,325042.0,5.592605587000435,19700,True,198,0.007081600000000002
ASC_n1000_R1000_s0,GA-QL-Tphi,4,325225.0,6.530042862999835,19700,True,198,0.005334800000000003
ASC_n1000_R1000_s0,GA-QL-Tphi,5,325144.0,6.243584482002916,19700,True,168,0.005280400000000003
ASC_n1000_R1000_s0,GA-QL-Tphi,6,325139.0,6.212597788002313,19700,True,133,0.004678400000000002
ASC_n1000_R1000_s0,GA-QL-Tphi,7,325036.0,5.986101350001263,19700,True,172,0.005992800000000003
ASC_n1000_R1000_s0,GA-QL-Tphi,8,325136.0,6.1255680059985025,19700,True,116,0.006667600000000003
ASC_n1000_R1000_s0,GA-QL-Tphi,9,325136.0,6.218637474001298,19700,True,161,0.005730000000000003
ASC_n1000_R1000_s0,GA-RAND,0,325140.0,5.516238718999375,19700,True,115,0.005223600000000002
ASC_n1000_R1000_s0,GA-RAND,1,325142.0,6.330796302998351,19700,True,169,0.0024784000000000004
ASC_n1000_R1000_s0,GA-RAND,2,325139.0,6.190457917997264,19700,True,134,0.0011680000000000006
ASC_n1000_R1000_s0,GA-RAND,3,325129.0,6.061215164001624,19700,True,82,0.004154400000000001
ASC_n1000_R1000_s0,GA-RAND,4,325135.0,6.579400894999708,19700,True,198,0.0024888
ASC_n1000_R1000_s0,GA-RAND,5,325141.0,6.257857698998123,19700,True,162,0.0007840000000000005
ASC_n1000_R1000_s0,GA-RAND,6,325026.0,6.08936851999897,19700,True,139,0.0015828000000000003
ASC_n1000_R1000_s0,GA-RAND,7,325241.0,5.4310051089996705,19700,True,178,0.004331200000000003
ASC_n1000_R1000_s0,GA-RAND,8,325139.0,6.10021159399912,19700,True,108,0.006354000000000003
ASC_n1000_R1000_s0,GA-RAND,9,325132.0,6.096278403001634,19700,True,81,0.0029156000000000013
ASC_n1000_R1000_s0,GA-UCB,0,325138.0,6.089095872001053,19700,True,94,0.004316800000000002
ASC_n1000_R1000_s0,GA-UCB,1,325128.0,6.2561497450005845,19700,True,90,0.002223200000000001
ASC_n1000_R1000_s0,GA-UCB,2,325137.0,5.448253770002339,19700,True,102,0.0022388000000000013
ASC_n1000_R1000_s0,GA-UCB,3,325129.0,6.082870427999296,19700,True,77,0.003580400000000002
ASC_n1000_R1000_s0,GA-UCB,4,325132.0,6.273797480000212,19700,True,162,0.0006264000000000003
ASC_n1000_R1000_s0,GA-UCB,5,325138.0,6.233020226001827,19700,True,166,0.0031644000000000012
ASC_n1000_R1000_s0,GA-UCB,6,325130.0,6.201811514001747,19700,True,101,0.002144
ASC_n1000_R1000_s0,GA-UCB,7,325136.0,6.270056168999872,19700,True,82,0.0033384000000000013
ASC_n1000_R1000_s0,GA-UCB,8,325128.0,5.74405838599705,19700,True,66,0.002816800000000001
ASC_n1000_R1000_s0,GA-UCB,9,325127.0,6.0742269000002125,19700,True,81,0.0027484000000000002
ASC_n1000_R1000_s1,GA,0,318139.0,5.1825370360020315,19700,True,180,0.0015136000000000004
ASC_n1000_R1000_s1,GA,1,318662.0,5.281573305001075,19700,True,186,0.001689600000000001
ASC_n1000_R1000_s1,GA,2,318668.0,5.740844653999375,19700,True,90,0.0020368000000000005
ASC_n1000_R1000_s1,GA,3,318742.0,5.355641389000084,19700,True,73,0.0018080000000000006
ASC_n1000_R1000_s1,GA,4,318970.0,5.584159505000571,19700,True,99,0.0007348000000000001
ASC_n1000_R1000_s1,GA,5,318650.0,5.370003218999045,19700,True,72,0.0014460000000000007
ASC_n1000_R1000_s1,GA,6,318756.0,5.654825283996615,19700,True,66,0.0017768000000000007
ASC_n1000_R1000_s1,GA,7,318540.0,4.848055972997827,19700,True,60,0.0012384000000000002
ASC_n1000_R1000_s1,GA,8,318667.0,5.408831981996627,19700,True,129,0.0014252000000000002
ASC_n1000_R1000_s1,GA,9,318665.0,5.698457278998831,19700,True,152,0.0018668000000000005
ASC_n1000_R1000_s1,GA-FIX-UX+BF3,0,319164.0,4.919921892000275,19700,True,90,0.004021600000000002
ASC_n1000_R1000_s1,GA-FIX-UX+BF3,1,319267.0,6.049359573000402,19700,True,118,0.004850000000000004
ASC_n1000_R1000_s1,GA-FIX-UX+BF3,2,319178.0,6.606941125999583,19700,True,183,0.027654400000000003
ASC_n1000_R1000_s1,GA-FIX-UX+BF3,3,319182.0,5.976699300998007,19700,True,187,0.024757600000000008
ASC_n1000_R1000_s1,GA-FIX-UX+BF3,4,319183.0,6.396133425001608,19700,True,143,0.018366000000000007
ASC_n1000_R1000_s1,GA-FIX-UX+BF3,5,319173.0,6.403336208000837,19700,True,173,0.0241396
ASC_n1000_R1000_s1,GA-FIX-UX+BF3,6,319164.0,6.54643495900018,19700,True,189,0.005264000000000003
ASC_n1000_R1000_s1,GA-FIX-UX+BF3,7,319185.0,5.410783311999694,19700,True,172,0.023309600000000003
ASC_n1000_R1000_s1,GA-FIX-UX+BF3,8,319170.0,5.661296709000453,19700,True,178,0.013950800000000003
ASC_n1000_R1000_s1,GA-FIX-UX+BF3,9,319182.0,5.805245233997994,19700,True,181,0.024004000000000004
ASC_n1000_R1000_s1,GA-QL,0,319163.0,6.119813031000376,19700,True,127,0.0013984000000000002
ASC_n1000_R1000_s1,GA-QL,1,318970.0,5.785121512999467,19700,True,106,0.0031948000000000007
ASC_n1000_R1000_s1,GA-QL,2,319089.0,6.303480092999962,19700,True,184,0.003032800000000001
ASC_n1000_R1000_s1,GA-QL,3,319170.0,6.078652870000951,19700,True,138,0.004147200000000002
ASC_n1000_R1000_s1,GA-QL,4,319077.0,5.5685616610026045,19700,True,186,0.0010620000000000004
ASC_n1000_R1000_s1,GA-QL,5,319177.0,5.558264694001991,19700,True,123,0.0018288000000000007
ASC_n1000_R1000_s1,GA-QL,6,319166.0,5.520370443002321,19700,True,87,0.003902000000000002
ASC_n1000_R1000_s1,GA-QL,7,319083.0,6.144419173000642,19700,True,148,0.0029664000000000014
ASC_n1000_R1000_s1,GA-QL,8,319160.0,5.586166487999435,19700,True,53,0.004430000000000002
ASC_n1000_R1000_s1,GA-QL,9,319151.0,6.139597968998714,19700,True,124,0.0022720000000000006
ASC_n1000_R1000_s1,GA-QL-T,0,319157.0,5.732375507002871,19700,True,56,0.006783200000000004
ASC_n1000_R1000_s1,GA-QL-T,1,319169.0,5.377920884999185,19700,True,149,0.008228400000000004
ASC_n1000_R1000_s1,GA-QL-T,2,319164.0,6.349480489996495,19700,True,55,0.004673200000000002
ASC_n1000_R1000_s1,GA-QL-T,3,319166.0,6.060907874001714,19700,True,98,0.0038040000000000023
ASC_n1000_R1000_s1,GA-QL-T,4,319161.0,4.979218001997651,19700,True,184,0.005171600000000004
ASC_n1000_R1000_s1,GA-QL-T,5,319168.0,6.464283585002704,19700,True,99,0.005391200000000003
ASC_n1000_R1000_s1,GA-QL-T,6,319164.0,6.247733274001803,19700,True,57,0.012638800000000004
