instance,family,class,n,m,optimum_file,greedy,t_greedy,ub_lp,f_n,f_m,f_tightness,f_corr_vw,f_cv_ratio,f_cv_w,f_cv_v,f_greedy_gap_ub,milp,t_milp,milp_status,milp_bound
OR5x100-0.25_1.dat,orlib-mkp,MKP-OR5x100,100,5,,22502.0,0.0007960270013427362,24585.902722021354,100,5,0.25000495577750453,0.5669168903928413,0.23951844142502468,0.22759502022401787,0.22434848369340185,0.08476006537497696,24381.0,17.575658563997422,optimal,24381.000000000022
OR5x100-0.25_10.dat,orlib-mkp,MKP-OR5x100,100,5,,23718.0,0.0011312999995425344,24635.69188885087,100,5,0.2500009892890923,0.5878555174211081,0.23597720268739697,0.2243274174597138,0.23847368455239204,0.03725050195428774,24411.0,15.97220607500276,optimal,24411.000000000055
OR5x100-0.25_2.dat,orlib-mkp,MKP-OR5x100,100,5,,23970.0,0.0010365339985582978,24538.208990401647,100,5,0.2500010952177111,0.6642868308086568,0.2808362095729631,0.25596713605603016,0.24006384176966608,0.023156090594220097,24274.0,11.193929021999793,optimal,24274.0
OR5x100-0.25_3.dat,orlib-mkp,MKP-OR5x100,100,5,,22584.0,0.0009609900007490069,23895.82892831534,100,5,0.2500021157603193,0.5922562488285752,0.26669683032136315,0.23870531107535767,0.24625011812083403,0.05489782054645062,23551.0,36.61317402400164,optimal,23551.00000000001
OR5x100-0.25_4.dat,orlib-mkp,MKP-OR5x100,100,5,,19627.0,0.0011837559977720957,23724.138568006914,100,5,0.2500068056390286,0.6884274421749051,0.22626557434479488,0.26075282421662566,0.26133832121067113,0.1726991501192837,23534.0,58.34508815500158,optimal,23534.000000000004
OR5x100-0.25_5.dat,orlib-mkp,MKP-OR5x100,100,5,,22026.0,0.0038820430017949548,24223.03031716978,100,5,0.2500017648771813,0.6467417645046662,0.26032440737387746,0.25503510806648005,0.2427769975920738,0.09070006057881541,23991.0,32.00226287600162,optimal,23991.0
OR5x100-0.25_6.dat,orlib-mkp,MKP-OR5x100,100,5,,24042.0,0.0010591169993858784,24884.23704580072,100,5,0.2500068575243114,0.6651951471755709,0.22404622982917763,0.2580625090869555,0.24669076397469392,0.03384620730989422,24613.0,9.955055329999595,optimal,24613.000000000004
OR5x100-0.25_7.dat,orlib-mkp,MKP-OR5x100,100,5,,24459.0,0.001093336999474559,25793.401838276528,100,5,0.2500019199857639,0.5854609988768823,0.2553760599659614,0.2573234209311031,0.22717261093659596,0.0517342321359225,25591.0,11.8651181560017,optimal,25590.999999999996
OR5x100-0.25_8.dat,orlib-mkp,MKP-OR5x100,100,5,,22425.0,0.0009918119976646267,23657.882200654592,100,5,0.25000098359281286,0.6911011702099531,0.22501040448554083,0.23809068055565413,0.25158766623414364,0.0521129571192336,23410.0,29.563333996000438,optimal,23410.000000000004
OR5x100-0.25_9.dat,orlib-mkp,MKP-OR5x100,100,5,,20921.0,0.0010352720019000117,24445.615445372474,100,5,0.25000378044545873,0.6800812507082553,0.23431511216518547,0.26721446612650135,0.26174304780511376,0.1441819067001514,24216.0,15.34124955200241,optimal,24216.0
OR5x100-0.50_1.dat,orlib-mkp,MKP-OR5x100,100,5,,42231.0,0.0010896499989030417,42939.522302088,100,5,0.500010057427455,0.7637718797473019,0.2467156341505596,0.2827317770043617,0.2854059142651562,0.016500470058875043,42757.0,4.698873540000932,optimal,42757.0
OR5x100-0.50_10.dat,orlib-mkp,MKP-OR5x100,100,5,,43364.0,0.0014004999975441024,44796.6256454586,100,5,0.500002218032605,0.6203595819208307,0.2843651368169566,0.2726007631478231,0.24516482833457892,0.03198065981123365,44554.0,20.947320808998484,optimal,44553.999999999985
OR5x100-0.50_2.dat,orlib-mkp,MKP-OR5x100,100,5,,40819.0,0.0011020780002581887,42706.70209522877,100,5,0.5000039918195358,0.6653459470936417,0.24686503363370563,0.24210343558777384,0.2740299660247358,0.044201542208047645,42545.0,29.00276047400257,optimal,42545.00000000001
OR5x100-0.50_3.dat,orlib-mkp,MKP-OR5x100,100,5,,40905.0,0.0010609569981170353,42165.187167667085,100,5,0.5000063529614935,0.6535363879683753,0.2469884026001495,0.2592644801096357,0.23969979582758652,0.02988691032381842,41968.0,60.01549458199952,limite de temps,42056.0
OR5x100-0.50_4.dat,orlib-mkp,MKP-OR5x100,100,5,,43836.0,0.0010820609968504868,45347.07405724299,100,5,0.5000062867874352,0.6211968580140808,0.2639631792254042,0.27167612587761397,0.25184229717221984,0.033322415804281406,45090.0,35.72008190899942,optimal,45090.00000000004
OR5x100-0.50_5.dat,orlib-mkp,MKP-OR5x100,100,5,,40885.0,0.001128791001974605,42434.12253652906,100,5,0.5000081479001633,0.6520145132256249,0.2378875316101071,0.2643459573422159,0.25740235914634,0.03650652927241538,42218.0,48.8712324190019,optimal,42218.00000000001
OR5x100-0.50_6.dat,orlib-mkp,MKP-OR5x100,100,5,,42030.0,0.001108173997636186,43082.23101863633,100,5,0.5000065054515964,0.6079432218211195,0.2575098970324729,0.2580586037401252,0.26479740356749887,0.02442378200379554,42927.0,3.2957952350006963,optimal,42927.0
OR5x100-0.50_7.dat,orlib-mkp,MKP-OR5x100,100,5,,40309.0,0.0005982379989291076,42190.59780570229,100,5,0.5000063580955982,0.6852546609654266,0.2282178520113963,0.2819712299267965,0.2730743108173371,0.04459756210062469,42009.0,4.0752064469998,optimal,42009.00000000003
OR5x100-0.50_8.dat,orlib-mkp,MKP-OR5x100,100,5,,44053.0,0.0017115810005634557,45265.473429539175,100,5,0.5000062428114027,0.6381734801922136,0.2292760620514423,0.2507462951327431,0.24540516528045703,0.0267858333885876,45020.0,50.64647705000243,optimal,45019.999999999985
OR5x100-0.50_9.dat,orlib-mkp,MKP-OR5x100,100,5,,42169.0,0.0011415159970056266,43567.49123721634,100,5,0.5000040145026258,0.7171897850280466,0.2234005611299893,0.2636205720450953,0.2685539749676465,0.03209942086409867,43441.0,4.185230184997636,optimal,43441.000000000255
