class,n,method,seed,value,time,status
UC,100,DP,0,44190.0,0.0059969299982185476,optimal
UC,100,DP,1,42407.0,0.005703229999198811,optimal
UC,100,DP,2,40004.0,0.005692034999810858,optimal
UC,100,MILP,0,44190.0,0.04666744800124434,optimal
UC,100,MILP,1,42407.0,0.056286267998075346,optimal
UC,100,MILP,2,40004.0,0.091172052998445,optimal
UC,100,GREEDY,0,44190.0,0.0014405370020540431,heuristique
UC,100,GREEDY,1,42276.0,0.0011929040010727476,heuristique
UC,100,GREEDY,2,39979.0,0.0010706649991334416,heuristique
UC,100,GA,0,44190.0,0.9878227440021874,métaheuristique
UC,100,GA,1,42407.0,0.878757669001061,métaheuristique
UC,100,GA,2,40004.0,1.022233628998947,métaheuristique
UC,100,GA-QL-T,0,44190.0,1.162471268002264,métaheuristique
UC,100,GA-QL-T,1,42407.0,1.2329557849989214,métaheuristique
UC,100,GA-QL-T,2,40004.0,1.2101598219996959,métaheuristique
UC,500,DP,0,203595.0,0.5930375299976731,optimal
UC,500,DP,1,201623.0,0.31040076700082864,optimal
UC,500,DP,2,197944.0,0.2562588100008725,optimal
UC,500,MILP,0,203595.0,0.5451324000023305,optimal
UC,500,MILP,1,201623.0,0.3588237060030224,optimal
UC,500,MILP,2,197944.0,0.8711308000019926,optimal
UC,500,GREEDY,0,203549.0,0.005444148002425209,heuristique
UC,500,GREEDY,1,201618.0,0.007171780998760369,heuristique
UC,500,GREEDY,2,197930.0,0.004394357001729077,heuristique
UC,500,GA,0,203539.0,3.1850376009970205,métaheuristique
UC,500,GA,1,201618.0,3.3894322820015077,métaheuristique
UC,500,GA,2,197936.0,3.416358502003277,métaheuristique
UC,500,GA-QL-T,0,203595.0,3.646287470997777,métaheuristique
UC,500,GA-QL-T,1,201623.0,2.7774904129983042,métaheuristique
UC,500,GA-QL-T,2,197941.0,3.317200609999418,métaheuristique
UC,1000,DP,0,407942.0,1.71136345999912,optimal
UC,1000,DP,1,416827.0,1.7146400739984529,optimal
UC,1000,DP,2,407965.0,1.1871158029971411,optimal
UC,1000,MILP,0,407942.0,0.7132854729970859,optimal
UC,1000,MILP,1,416827.0,0.4304302260024997,optimal
UC,1000,MILP,2,407965.0,0.40177709800263983,optimal
UC,1000,GREEDY,0,407910.0,0.012260798997886013,heuristique
UC,1000,GREEDY,1,416784.0,0.012065267001162283,heuristique
UC,1000,GREEDY,2,407906.0,0.012359030999505194,heuristique
UC,1000,GA,0,407939.0,4.2828472389992385,métaheuristique
UC,1000,GA,1,416793.0,3.891134601999511,métaheuristique
UC,1000,GA,2,407946.0,4.063985508997575,métaheuristique
UC,1000,GA-QL-T,0,407939.0,4.580947959999321,métaheuristique
UC,1000,GA-QL-T,1,416810.0,4.550468601999455,métaheuristique
UC,1000,GA-QL-T,2,407965.0,4.346717258998979,métaheuristique
UC,2000,DP,0,809357.0,6.480774882998958,optimal
UC,2000,DP,1,809849.0,6.750915246000659,optimal
UC,2000,DP,2,804443.0,5.327353721000691,optimal
UC,2000,MILP,0,809357.0,1.6469377530011116,optimal
UC,2000,MILP,1,809849.0,1.8108915239972703,optimal
UC,2000,MILP,2,804443.0,1.434200580999459,optimal
UC,2000,GREEDY,0,809335.0,0.01126689900047495,heuristique
UC,2000,GREEDY,1,809839.0,0.0111753810015216,heuristique
UC,2000,GREEDY,2,804419.0,0.01149647000056575,heuristique
UC,2000,GA,0,809333.0,7.448728391002078,métaheuristique
UC,2000,GA,1,809841.0,7.445588861999568,métaheuristique
UC,2000,GA,2,804400.0,6.687357201997656,métaheuristique
UC,2000,GA-QL-T,0,809353.0,8.115983998999582,métaheuristique
UC,2000,GA-QL-T,1,809845.0,8.034906462002255,métaheuristique
UC,2000,GA-QL-T,2,804431.0,7.7730837569979485,métaheuristique
UC,5000,DP,0,,,infaisable : n·C = 6.21e+09 opérations : temps prohibitif
UC,5000,DP,1,,,infaisable : n·C = 6.2e+09 opérations : temps prohibitif
UC,5000,DP,2,,,infaisable : n·C = 6.16e+09 opérations : temps prohibitif
UC,5000,MILP,0,2020907.0,8.92950697500055,optimal
UC,5000,MILP,1,2030644.0,7.473254386000917,optimal
UC,5000,MILP,2,2036095.0,8.796382251999603,optimal
UC,5000,GREEDY,0,2020899.0,0.03148807400066289,heuristique
UC,5000,GREEDY,1,2030630.0,0.02848569799971301,heuristique
UC,5000,GREEDY,2,2036092.0,0.026469964999705553,heuristique
UC,5000,GA,0,1999791.0,17.34917332599798,métaheuristique
UC,5000,GA,1,1993659.0,17.306666208001843,métaheuristique
UC,5000,GA,2,2017471.0,17.17870231899724,métaheuristique
UC,5000,GA-QL-T,0,2019464.0,17.719996996998816,métaheuristique
UC,5000,GA-QL-T,1,2029817.0,18.357008201997814,métaheuristique
UC,5000,GA-QL-T,2,2035976.0,18.29308462300105,métaheuristique
UC,10000,DP,0,,,infaisable : n·C = 2.48e+10 opérations : temps prohibitif
UC,10000,DP,1,,,infaisable : n·C = 2.48e+10 opérations : temps prohibitif
UC,10000,DP,2,,,infaisable : n·C = 2.48e+10 opérations : temps prohibitif
UC,10000,MILP,0,4051555.0,31.292822721999983,optimal
UC,10000,MILP,1,4039648.0,37.514357131,optimal
UC,10000,MILP,2,4055551.0,30.804456680998555,optimal
UC,10000,GREEDY,0,4051548.0,0.05932663500061608,heuristique
UC,10000,GREEDY,1,4039644.0,0.05701273399972706,heuristique
UC,10000,GREEDY,2,4055551.0,0.05819074700048077,heuristique
UC,10000,GA,0,3777891.0,34.776500441999815,métaheuristique
UC,10000,GA,1,3825240.0,37.351483072998235,métaheuristique
UC,10000,GA,2,3784246.0,36.331796483998914,métaheuristique
UC,10000,GA-QL-T,0,3994902.0,38.2622175409997,métaheuristique
UC,10000,GA-QL-T,1,3980342.0,40.256909857998835,métaheuristique
UC,10000,GA-QL-T,2,3996316.0,42.06457583500014,métaheuristique
SC,100,DP,0,32036.0,0.006570689998625312,optimal
SC,100,DP,1,32065.0,0.006451031000324292,optimal
SC,100,DP,2,32392.0,0.007660295999812661,optimal
SC,100,MILP,0,32036.0,0.039175715999590466,optimal
SC,100,MILP,1,32065.0,0.02724707400193438,optimal
SC,100,MILP,2,32392.0,0.18562577400007285,optimal
SC,100,GREEDY,0,31354.0,0.0006156460003694519,heuristique
SC,100,GREEDY,1,31382.0,0.0006004460010444745,heuristique
SC,100,GREEDY,2,31946.0,0.0006966999972064514,heuristique
SC,100,GA,0,32036.0,0.4012003130010271,métaheuristique
SC,100,GA,1,32065.0,0.39539351900020847,métaheuristique
SC,100,GA,2,32392.0,0.39294487699953606,métaheuristique
SC,100,GA-QL-T,0,32036.0,0.48410660999797983,métaheuristique
SC,100,GA-QL-T,1,32065.0,0.4849904679977044,métaheuristique
SC,100,GA-QL-T,2,32392.0,0.5531279909992008,métaheuristique
SC,500,DP,0,164403.0,0.18275041699962458,optimal
SC,500,DP,1,161897.0,0.2448172770018573,optimal
SC,500,DP,2,160472.0,0.226031118996616,optimal
SC,500,MILP,0,164403.0,0.19658749899826944,optimal
SC,500,MILP,1,161897.0,120.01942669100026,limite de temps
SC,500,MILP,2,160472.0,120.01705450299778,limite de temps
SC,500,GREEDY,0,164288.0,0.0028831980016548187,heuristique
SC,500,GREEDY,1,161467.0,0.0027944439971179236,heuristique
SC,500,GREEDY,2,159882.0,0.002809134999552043,heuristique
SC,500,GA,0,164203.0,1.3975826040004904,métaheuristique
SC,500,GA,1,161697.0,1.7421650830001454,métaheuristique
SC,500,GA,2,160372.0,1.5532371389999753,métaheuristique
SC,500,GA-QL-T,0,164303.0,2.271783484997286,métaheuristique
SC,500,GA-QL-T,1,161897.0,2.070299855000485,métaheuristique
SC,500,GA-QL-T,2,160472.0,1.7924772159967688,métaheuristique
SC,1000,DP,0,325172.0,1.1309243229989079,optimal
SC,1000,DP,1,319169.0,1.2082722049999575,optimal
SC,1000,DP,2,319588.0,1.1696194979995198,optimal
SC,1000,MILP,0,325172.0,120.03513768999983,limite de temps
SC,1000,MILP,1,319169.0,0.20421962900218205,optimal
SC,1000,MILP,2,319588.0,120.01562437100074,limite de temps
SC,1000,GREEDY,0,324491.0,0.007554223000624916,heuristique
SC,1000,GREEDY,1,318922.0,0.005606384002021514,heuristique
SC,1000,GREEDY,2,319217.0,0.00564599800054566,heuristique
SC,1000,GA,0,324872.0,2.490572148002684,métaheuristique
SC,1000,GA,1,318469.0,2.4815087130009488,métaheuristique
SC,1000,GA,2,318988.0,2.4325213259980956,métaheuristique
SC,1000,GA-QL-T,0,325172.0,2.910267085997475,métaheuristique
SC,1000,GA-QL-T,1,319069.0,3.108903680000367,métaheuristique
SC,1000,GA-QL-T,2,319488.0,3.0840037999987544,métaheuristique
SC,2000,DP,0,647261.0,5.939300181998988,optimal
SC,2000,DP,1,646239.0,6.688962116000766,optimal
SC,2000,DP,2,638134.0,4.6864460360011435,optimal
SC,2000,MILP,0,647261.0,120.02469291799935,limite de temps
SC,2000,MILP,1,646239.0,120.02983929599941,limite de temps
SC,2000,MILP,2,638134.0,120.02840379200279,limite de temps
SC,2000,GREEDY,0,646718.0,0.011604471001191996,heuristique
SC,2000,GREEDY,1,645755.0,0.012006902998109581,heuristique
SC,2000,GREEDY,2,637620.0,0.01146597200204269,heuristique
SC,2000,GA,0,645661.0,5.325749062998511,métaheuristique
SC,2000,GA,1,644739.0,5.608244063001621,métaheuristique
SC,2000,GA,2,636032.0,5.454146283002046,métaheuristique
SC,2000,GA-QL-T,0,646961.0,6.206443261999084,métaheuristique
SC,2000,GA-QL-T,1,646139.0,6.178247566000209,métaheuristique
SC,2000,GA-QL-T,2,637834.0,5.4212623330022325,métaheuristique
SC,5000,DP,0,,,infaisable : n·C = 6.21e+09 opérations : temps prohibitif
SC,5000,DP,1,,,infaisable : n·C = 6.2e+09 opérations : temps prohibitif
SC,5000,DP,2,,,infaisable : n·C = 6.16e+09 opérations : temps prohibitif
SC,5000,MILP,0,1595117.0,120.0488498070008,limite de temps
SC,5000,MILP,1,1592943.0,120.0384593029994,limite de temps
SC,5000,MILP,2,1584764.0,120.08022879200144,limite de temps
SC,5000,GREEDY,0,1594624.0,0.02726335399711388,heuristique
SC,5000,GREEDY,1,1592298.0,0.03189346300132456,heuristique
SC,5000,GREEDY,2,1584152.0,0.02924527399954968,heuristique
SC,5000,GA,0,1587277.0,9.620348930999171,métaheuristique
SC,5000,GA,1,1583635.0,8.907633152997732,métaheuristique
SC,5000,GA,2,1576259.0,9.14024218999839,métaheuristique
SC,5000,GA-QL-T,0,1593515.0,11.858498163997865,métaheuristique
SC,5000,GA-QL-T,1,1591741.0,11.94218793500113,métaheuristique
SC,5000,GA-QL-T,2,1583464.0,11.921252875999926,métaheuristique
SC,10000,DP,0,,,infaisable : n·C = 2.48e+10 opérations : temps prohibitif
SC,10000,DP,1,,,infaisable : n·C = 2.48e+10 opérations : temps prohibitif
SC,10000,DP,2,,,infaisable : n·C = 2.48e+10 opérations : temps prohibitif
SC,10000,MILP,0,3182245.0,120.05356405199927,limite de temps
SC,10000,MILP,1,3185847.0,120.04063136200057,limite de temps
SC,10000,MILP,2,3183662.0,120.06232129699856,limite de temps
SC,10000,GREEDY,0,3181704.0,0.055014173998642946,heuristique
SC,10000,GREEDY,1,3185266.0,0.060209657000086736,heuristique
SC,10000,GREEDY,2,3183157.0,0.05809887000214076,heuristique
SC,10000,GA,0,3146640.0,15.297375924001244,métaheuristique
SC,10000,GA,1,3144599.0,15.212671907000185,métaheuristique
SC,10000,GA,2,3148727.0,16.85483232000115,métaheuristique
SC,10000,GA-QL-T,0,3172722.0,22.12454286099819,métaheuristique
SC,10000,GA-QL-T,1,3171243.0,21.573946173000877,métaheuristique
SC,10000,GA-QL-T,2,3172941.0,21.92454662900127,métaheuristique
