instance,method,seed,value,time,evaluations,feasible,gen_to_best,final_diversity,reference,gap_pct,optimal_hit,family,class,n,m
ASC_n500_R1000_s900,GA,0,157900.0,2.530861189999996,19700,True,44,0.003217600000000001,158031.0,0.08289512817105504,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA,1,157911.0,2.6056581339980767,19700,True,192,0.0084192,158031.0,0.07593446855363821,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA,2,157916.0,2.5390091799999936,19700,True,105,0.0030688000000000013,158031.0,0.07277053236390328,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA,3,157823.0,1.6333047820007778,19700,True,146,0.0041272,158031.0,0.1316197454929729,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA,4,157916.0,2.4960921250021784,19700,True,61,0.0017056000000000003,158031.0,0.07277053236390328,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA,5,157912.0,2.6721570279987645,19700,True,103,0.0028504000000000003,158031.0,0.07530168131569122,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-QL,0,157907.0,2.795694750999246,19700,True,27,0.013784800000000007,158031.0,0.07846561750542615,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-QL,1,158019.0,2.090786378001212,19700,True,69,0.00264,158031.0,0.007593446855363821,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-QL,2,158019.0,3.045977412999491,19700,True,97,0.009615200000000004,158031.0,0.007593446855363821,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-QL,3,157921.0,3.0607277339986467,19700,True,81,0.011446400000000006,158031.0,0.06960659617416835,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-QL,4,158020.0,3.11987866599884,19700,True,161,0.002088800000000001,158031.0,0.006960659617416836,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-QL,5,158024.0,3.125568983999983,19700,True,129,0.011351200000000004,158031.0,0.004429510665628896,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-QL-a,0,157916.0,2.878632608000771,19700,True,156,0.017762400000000008,158031.0,0.07277053236390328,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-QL-a,1,158026.0,3.0352632320027624,19700,True,63,0.004080000000000002,158031.0,0.0031639361897349253,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-QL-a,2,158019.0,2.1699143779987935,19700,True,198,0.013818400000000005,158031.0,0.007593446855363821,False,pisinger-gen,ASC,500,1
