instance,method,seed,value,time,evaluations,feasible,gen_to_best,final_diversity
ASC_n500_R1000_s900,GA-FIX-1P+BF1,0,157900.0,2.4104693869994662,19700,True,44,0.003217600000000001
ASC_n500_R1000_s900,GA-FIX-1P+BF1,1,157911.0,2.697232881000673,19700,True,192,0.0084192
ASC_n500_R1000_s900,GA-FIX-1P+BF1,2,157916.0,1.829875281000568,19700,True,105,0.0030688000000000013
ASC_n500_R1000_s900,GA-FIX-1P+BF1,3,157823.0,2.6595547210017685,19700,True,146,0.0041272
ASC_n500_R1000_s900,GA-FIX-1P+BF1,4,157916.0,2.727422307998495,19700,True,61,0.0017056000000000003
ASC_n500_R1000_s900,GA-FIX-1P+BF1,5,157912.0,2.541643454998848,19700,True,103,0.0028504000000000003
ASC_n500_R1000_s900,GA-FIX-1P+BF3,0,158010.0,2.8540144529979443,19700,True,88,0.010060000000000006
ASC_n500_R1000_s900,GA-FIX-1P+BF3,1,158021.0,3.023282730999199,19700,True,93,0.015885600000000007
ASC_n500_R1000_s900,GA-FIX-1P+BF3,2,157916.0,2.4715124030008155,19700,True,75,0.014500800000000005
ASC_n500_R1000_s900,GA-FIX-1P+BF3,3,158018.0,3.132101055998646,19700,True,190,0.04105840000000001
ASC_n500_R1000_s900,GA-FIX-1P+BF3,4,158015.0,3.230448468999384,19700,True,55,0.012456000000000005
ASC_n500_R1000_s900,GA-FIX-1P+BF3,5,157935.0,3.2004470430001675,19700,True,132,0.012916800000000006
ASC_n500_R1000_s900,GA-FIX-1P+SWAP,0,157909.0,3.1612292919999163,19700,True,101,0.004204000000000001
ASC_n500_R1000_s900,GA-FIX-1P+SWAP,1,157913.0,2.670011934998911,19700,True,179,0.005780800000000001
ASC_n500_R1000_s900,GA-FIX-1P+SWAP,2,157911.0,3.063690987000882,19700,True,75,0.008993600000000001
ASC_n500_R1000_s900,GA-FIX-1P+SWAP,3,157918.0,2.5699657530021796,19700,True,194,0.007276000000000001
ASC_n500_R1000_s900,GA-FIX-1P+SWAP,4,157919.0,2.2371598459976667,19700,True,56,0.006087200000000001
ASC_n500_R1000_s900,GA-FIX-1P+SWAP,5,157918.0,3.0481484230003844,19700,True,77,0.0053440000000000015
ASC_n500_R1000_s900,GA-FIX-2P+BF1,0,157906.0,2.580091531999642,19700,True,56,0.0026664000000000006
ASC_n500_R1000_s900,GA-FIX-2P+BF1,1,157908.0,2.6993908010008454,19700,True,31,0.002823200000000001
ASC_n500_R1000_s900,GA-FIX-2P+BF1,2,157910.0,2.7320074919989565,19700,True,59,0.0027424000000000007
ASC_n500_R1000_s900,GA-FIX-2P+BF1,3,157922.0,2.6905594799973187,19700,True,148,0.001875200000000001
ASC_n500_R1000_s900,GA-FIX-2P+BF1,4,158011.0,2.9116306029973202,19700,True,79,0.005244800000000002
ASC_n500_R1000_s900,GA-FIX-2P+BF1,5,157914.0,1.8865374839988363,19700,True,47,0.0038536000000000004
