episode,instance,class,n,value,eps,action_hist
0,SC_n100_R1000_s500,SC,100,32088.0,0.9692763231664738,"[18, 26, 19, 21, 18, 27, 21, 32, 18]"
1,SC_n100_R1000_s500,SC,100,32088.0,0.9394965906511191,"[20, 13, 31, 17, 24, 29, 23, 23, 20]"
2,SS_n100_R1000_s500,SS,100,25188.0,0.9106318010137548,"[20, 20, 25, 13, 30, 27, 19, 25, 21]"
3,ISC_n200_R1000_s500,ISC,200,51186.0,0.882653843845076,"[23, 19, 28, 20, 20, 29, 17, 28, 16]"
4,ASC_n100_R1000_s500,ASC,100,32081.0,0.8555354723909095,"[21, 29, 17, 21, 31, 16, 21, 20, 24]"
5,SS_n200_R1000_s501,SS,200,50808.0,0.8292502770175535,"[25, 15, 27, 16, 19, 25, 20, 27, 26]"
6,SC_n100_R1000_s500,SC,100,32088.0,0.8037726594923542,"[21, 19, 22, 19, 25, 27, 29, 15, 23]"
7,WC_n100_R1000_s501,WC,100,29257.0,0.779077808054487,"[28, 19, 24, 23, 16, 22, 26, 25, 17]"
8,SC_n100_R1000_s501,SC,100,33686.0,0.7551416732516487,"[21, 22, 24, 20, 23, 23, 14, 28, 25]"
9,SS_n200_R1000_s500,SS,200,47585.0,0.731940944519137,"[19, 21, 29, 20, 23, 23, 20, 23, 22]"
10,SC_n200_R1000_s501,SC,200,64708.0,0.7094530274785045,"[15, 21, 19, 17, 24, 28, 28, 26, 22]"
11,ISC_n100_R1000_s501,ISC,100,28536.0,0.6876560219336887,"[23, 22, 27, 21, 19, 22, 23, 15, 28]"
12,UC_n100_R1000_s500,UC,100,36954.0,0.6665287005431698,"[23, 23, 21, 20, 28, 30, 18, 23, 14]"
13,SC_n200_R1000_s501,SC,200,64708.0,0.6460504881474114,"[24, 26, 25, 20, 21, 21, 26, 15, 22]"
14,WC_n200_R1000_s500,WC,200,53168.0,0.6262014417314281,"[25, 24, 18, 23, 26, 23, 23, 10, 28]"
15,ISC_n200_R1000_s500,ISC,200,51186.0,0.6069622310029841,"[14, 22, 18, 18, 19, 25, 37, 22, 25]"
16,ASC_n200_R1000_s501,ASC,200,64730.0,0.5883141195674926,"[32, 22, 16, 14, 24, 20, 24, 27, 21]"
17,ISC_n200_R1000_s501,ISC,200,54309.0,0.5702389466813005,"[32, 19, 20, 23, 27, 24, 15, 20, 20]"
18,ASC_n200_R1000_s501,ASC,200,64733.0,0.5527191095655735,"[37, 20, 20, 25, 18, 16, 22, 21, 21]"
19,SC_n200_R1000_s500,SC,200,61685.0,0.5357375462635662,"[35, 18, 37, 20, 18, 18, 19, 14, 21]"
20,ASC_n200_R1000_s500,ASC,200,61710.0,0.5192777190245781,"[29, 17, 21, 27, 19, 17, 26, 19, 25]"
21,WC_n200_R1000_s501,WC,200,55703.0,0.5033235981984158,"[12, 21, 17, 25, 26, 19, 28, 25, 27]"
22,SS_n100_R1000_s500,SS,100,25188.0,0.48785964662467973,"[30, 21, 21, 18, 25, 15, 23, 19, 28]"
23,ASC_n100_R1000_s501,ASC,100,33683.0,0.47287080450166474,"[21, 13, 28, 15, 51, 19, 14, 17, 22]"
24,ISC_n200_R1000_s501,ISC,200,54309.0,0.4583424747201459,"[24, 16, 24, 30, 15, 23, 32, 17, 19]"
25,SS_n200_R1000_s501,SS,200,50808.0,0.44426050864776545,"[17, 25, 23, 20, 19, 25, 34, 18, 19]"
26,ISC_n200_R1000_s500,ISC,200,51186.0,0.4306111923501735,"[22, 17, 22, 24, 18, 25, 33, 21, 18]"
27,ASC_n200_R1000_s500,ASC,200,61712.0,0.4173812332355072,"[19, 27, 24, 26, 17, 20, 33, 12, 22]"
28,ISC_n100_R1000_s500,ISC,100,26865.0,0.4045577471092009,"[22, 32, 8, 36, 18, 18, 32, 16, 18]"
29,SS_n200_R1000_s500,SS,200,47585.0,0.3921282456265186,"[24, 19, 17, 21, 26, 29, 25, 22, 17]"
30,SS_n100_R1000_s500,SS,100,25188.0,0.38008062413059174,"[22, 20, 8, 48, 17, 17, 37, 11, 20]"
31,ASC_n200_R1000_s501,ASC,200,64738.0,0.3684031498641186,"[11, 39, 10, 16, 30, 17, 27, 14, 36]"
32,UC_n200_R1000_s501,UC,200,80860.0,0.3570844505432404,"[19, 27, 20, 21, 15, 18, 30, 16, 34]"
33,UC_n200_R1000_s501,UC,200,80860.0,0.34611350328247253,"[12, 55, 10, 10, 15, 11, 23, 23, 41]"
34,ASC_n100_R1000_s500,ASC,100,32081.0,0.3354796238599024,"[36, 13, 27, 10, 51, 11, 14, 30, 8]"
35,SS_n100_R1000_s501,SS,100,26886.0,0.3251724563121977,"[20, 16, 9, 56, 9, 6, 48, 9, 27]"
36,UC_n200_R1000_s501,UC,200,80857.0,0.3151819628492973,"[15, 60, 9, 8, 25, 25, 31, 3, 24]"
37,ISC_n200_R1000_s501,ISC,200,54309.0,0.3054984140789596,"[19, 23, 19, 37, 20, 14, 42, 15, 11]"
38,SS_n200_R1000_s500,SS,200,47585.0,0.29611237953164316,"[36, 12, 10, 28, 12, 12, 56, 19, 15]"
39,WC_n200_R1000_s501,WC,200,55710.0,0.2870147184765067,"[10, 32, 3, 63, 6, 15, 55, 7, 9]"
40,SS_n100_R1000_s501,SS,100,26886.0,0.2781965710195692,"[13, 14, 10, 72, 5, 7, 54, 5, 20]"
41,SC_n100_R1000_s501,SC,100,33686.0,0.26964934947536834,"[31, 9, 10, 5, 76, 7, 37, 19, 6]"
42,ASC_n100_R1000_s501,ASC,100,33682.0,0.26136473000371696,"[35, 4, 26, 9, 64, 10, 22, 27, 3]"
43,UC_n100_R1000_s501,UC,100,38376.0,0.25333464450340126,"[20, 22, 9, 46, 18, 7, 31, 20, 27]"
44,UC_n100_R1000_s500,UC,100,36954.0,0.2455512727549427,"[14, 18, 7, 31, 21, 11, 41, 37, 20]"
45,SC_n100_R1000_s501,SC,100,33686.0,0.23800703480475888,"[24, 28, 21, 10, 63, 12, 17, 18, 7]"
46,ASC_n200_R1000_s501,ASC,200,64734.0,0.23069458358331174,"[21, 4, 9, 10, 25, 23, 35, 57, 16]"
47,SS_n100_R1000_s501,SS,100,26886.0,0.22360679775005315,"[23, 2, 8, 74, 16, 15, 37, 23, 2]"
48,UC_n100_R1000_s501,UC,100,38376.0,0.21673677475820083,"[34, 7, 25, 34, 9, 21, 22, 35, 13]"
49,SC_n100_R1000_s501,SC,100,33686.0,0.21007782413258924,"[16, 15, 21, 15, 38, 10, 35, 34, 16]"
50,WC_n100_R1000_s500,WC,100,27091.0,0.2036234609540494,"[32, 8, 17, 62, 9, 27, 12, 23, 10]"
51,ISC_n100_R1000_s501,ISC,100,28536.0,0.19736739954397303,"[61, 13, 6, 5, 8, 10, 69, 22, 6]"
