episode,instance,class,n,value,eps,action_hist
0,UC_n200_R1000_s501,UC,200,80860.0,0.939496590651096,"[22, 25, 13, 26, 24, 29, 15, 25, 21]"
1,UC_n100_R1000_s501,UC,100,38376.0,0.8826538438450329,"[24, 22, 12, 24, 32, 20, 21, 16, 29]"
2,WC_n100_R1000_s500,WC,100,27091.0,0.8292502770174932,"[22, 21, 18, 27, 12, 30, 28, 21, 21]"
3,SS_n200_R1000_s501,SS,200,50808.0,0.7790778080544123,"[29, 24, 19, 28, 17, 14, 19, 24, 26]"
4,WC_n200_R1000_s500,WC,200,53168.0,0.73194094451905,"[16, 28, 14, 32, 32, 16, 23, 19, 20]"
5,WC_n200_R1000_s500,WC,200,53168.0,0.6876560219335908,"[27, 20, 22, 30, 21, 21, 22, 15, 22]"
6,UC_n200_R1000_s501,UC,200,80860.0,0.6460504881473045,"[24, 22, 22, 29, 20, 17, 20, 23, 23]"
7,UC_n100_R1000_s501,UC,100,38376.0,0.60696223100287,"[33, 28, 23, 20, 19, 15, 16, 27, 19]"
8,UC_n200_R1000_s501,UC,200,80863.0,0.5702389466811795,"[22, 21, 21, 30, 18, 16, 16, 36, 20]"
9,WC_n100_R1000_s500,WC,100,27091.0,0.5357375462634396,"[10, 19, 17, 37, 18, 29, 30, 21, 19]"
10,SS_n100_R1000_s501,SS,100,26886.0,0.5033235981982852,"[25, 13, 17, 46, 15, 20, 40, 15, 9]"
11,SS_n100_R1000_s501,SS,100,26886.0,0.47287080450153146,"[27, 12, 27, 55, 13, 7, 35, 11, 13]"
12,WC_n100_R1000_s500,WC,100,27091.0,0.4442605086476299,"[28, 9, 19, 52, 8, 20, 27, 29, 8]"
13,UC_n100_R1000_s500,UC,100,36954.0,0.41738123323537,"[14, 7, 49, 37, 19, 15, 10, 40, 9]"
14,UC_n100_R1000_s500,UC,100,36954.0,0.39212824562638,"[11, 11, 16, 43, 39, 16, 14, 34, 16]"
15,SS_n100_R1000_s500,SS,100,25188.0,0.36840314986397965,"[35, 16, 13, 25, 21, 19, 48, 17, 6]"
16,SS_n200_R1000_s500,SS,200,47585.0,0.3461135032823338,"[33, 17, 12, 33, 19, 15, 48, 12, 11]"
17,WC_n200_R1000_s501,WC,200,55703.0,0.32517245631205943,"[27, 9, 12, 14, 40, 20, 29, 32, 17]"
18,SS_n200_R1000_s500,SS,200,47585.0,0.3054984140788223,"[31, 10, 17, 23, 17, 17, 46, 23, 16]"
19,SS_n200_R1000_s501,SS,200,50808.0,0.28701471847637106,"[34, 16, 19, 11, 19, 20, 40, 24, 17]"
20,WC_n100_R1000_s501,WC,100,29251.0,0.26964934947523506,"[22, 12, 18, 28, 39, 18, 27, 25, 11]"
21,WC_n200_R1000_s501,WC,200,55708.0,0.25333464450326953,"[16, 12, 17, 37, 29, 16, 25, 37, 11]"
22,SS_n100_R1000_s501,SS,100,26886.0,0.23800703480462965,"[20, 18, 13, 49, 27, 12, 31, 19, 11]"
23,WC_n100_R1000_s501,WC,100,29251.0,0.22360679774992653,"[20, 16, 15, 21, 46, 31, 18, 24, 9]"
24,WC_n200_R1000_s501,WC,200,55703.0,0.21007782413246523,"[16, 15, 20, 45, 20, 12, 16, 28, 28]"
25,SS_n100_R1000_s501,SS,100,26886.0,0.19736739954385166,"[15, 17, 15, 46, 24, 13, 39, 19, 12]"
26,WC_n200_R1000_s501,WC,200,55710.0,0.18542599897712164,"[29, 13, 20, 28, 37, 15, 25, 21, 12]"
27,UC_n100_R1000_s501,UC,100,38365.0,0.1742070938570795,"[28, 26, 12, 26, 14, 16, 27, 35, 16]"
28,SS_n200_R1000_s501,SS,200,50808.0,0.1636669707459619,"[18, 19, 20, 23, 18, 15, 15, 58, 14]"
29,SS_n200_R1000_s501,SS,200,50808.0,0.15376456101802383,"[24, 19, 32, 13, 13, 19, 20, 43, 17]"
30,UC_n200_R1000_s500,UC,200,85120.0,0.14446128083939588,"[30, 28, 22, 23, 11, 7, 8, 58, 13]"
31,WC_n100_R1000_s500,WC,100,27091.0,0.13572088082970288,"[31, 34, 23, 17, 27, 16, 18, 23, 11]"
32,SS_n100_R1000_s500,SS,100,25188.0,0.1275093048196695,"[18, 28, 21, 18, 22, 18, 27, 27, 21]"
33,UC_n200_R1000_s501,UC,200,80857.0,0.1197945571543709,"[23, 8, 25, 55, 10, 6, 7, 54, 12]"
34,WC_n200_R1000_s500,WC,200,53168.0,0.1125465780250894,"[24, 18, 18, 34, 19, 17, 18, 37, 15]"
35,UC_n200_R1000_s500,UC,200,85120.0,0.10573712634401904,"[18, 12, 28, 48, 18, 10, 13, 42, 11]"
36,SS_n200_R1000_s500,SS,200,47585.0,0.09933966970545005,"[24, 26, 21, 12, 25, 18, 23, 26, 25]"
37,UC_n200_R1000_s500,UC,200,85120.0,0.09332928100467633,"[23, 15, 30, 37, 15, 12, 18, 37, 13]"
38,UC_n100_R1000_s500,UC,100,36954.0,0.08768254131181151,"[19, 20, 19, 28, 18, 17, 15, 49, 15]"
